"Step","251028_normalized_zwidth_v1 - geom/t","251028_normalized_zwidth_v1 - geom/t__MIN","251028_normalized_zwidth_v1 - geom/t__MAX"
"1","0.01","0.01","0.01"
"17","0.01","0.01","0.01"
"18","0.01","0.01","0.01"
"22","0.01","0.01","0.01"
"26","0.01","0.01","0.01"
"34","0.01","0.01","0.01"
"36","0.01","0.01","0.01"
"49","0.01","0.01","0.01"
"59","0.01","0.01","0.01"
"60","0.01","0.01","0.01"
"64","0.01","0.01","0.01"
"67","0.01","0.01","0.01"
"73","0.01","0.01","0.01"
"77","0.01","0.01","0.01"
"78","0.01","0.01","0.01"
"88","0.01","0.01","0.01"
"92","0.01","0.01","0.01"
"95","0.01","0.01","0.01"
"97","0.01","0.01","0.01"
"103","0.010268569410112303","0.010268569410112303","0.010268569410112303"
"119","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"143","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"149","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"151","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"154","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"155","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"157","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"160","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"163","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"164","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"167","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"172","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"174","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"176","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"185","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"193","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"212","0.010316239267444146","0.010316239267444146","0.010316239267444146"
"222","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"225","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"231","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"247","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"250","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"259","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"266","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"274","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"277","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"278","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"281","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"290","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"292","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"295","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"301","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"304","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"305","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"309","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"314","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"317","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"318","0.010358985575871761","0.010358985575871761","0.010358985575871761"
"337","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"353","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"361","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"368","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"372","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"382","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"389","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"397","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"405","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"414","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"425","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"430","0.010412919214482052","0.010412919214482052","0.010412919214482052"
"435","0.01044009718594262","0.01044009718594262","0.01044009718594262"
"447","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"455","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"461","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"465","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"472","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"477","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"482","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"490","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"497","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"503","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"506","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"511","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"515","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"517","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"519","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"526","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"534","0.010467417398985261","0.010467417398985261","0.010467417398985261"
"549","0.010321563253116312","0.010321563253116312","0.010321563253116312"
"550","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"552","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"568","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"575","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"578","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"583","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"585","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"586","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"589","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"591","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"595","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"597","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"613","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"614","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"646","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"647","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"648","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"649","0.01030560775617181","0.01030560775617181","0.01030560775617181"
"651","0.010279124600288982","0.010279124600288982","0.010279124600288982"
"652","0.010252777207351233","0.010252777207351233","0.010252777207351233"
"653","0.010226564536067196","0.010226564536067196","0.010226564536067196"
"663","0.01005143878559472","0.01005143878559472","0.01005143878559472"
"676","0.01005143878559472","0.01005143878559472","0.01005143878559472"
"686","0.01005143878559472","0.01005143878559472","0.01005143878559472"
"703","0.01005143878559472","0.01005143878559472","0.01005143878559472"
"722","0.01005143878559472","0.01005143878559472","0.01005143878559472"
"724","0.01005143878559472","0.01005143878559472","0.01005143878559472"
"752","0.01005143878559472","0.01005143878559472","0.01005143878559472"
"755","0.01005143878559472","0.01005143878559472","0.01005143878559472"
"761","0.010030750380295918","0.010030750380295918","0.010030750380295918"
"763","0.009989639839349975","0.009989639839349975","0.009989639839349975"
"774","0.009848434312948507","0.009848434312948507","0.009848434312948507"
"776","0.009848434312948507","0.009848434312948507","0.009848434312948507"
"789","0.009848434312948507","0.009848434312948507","0.009848434312948507"
"802","0.009848434312948507","0.009848434312948507","0.009848434312948507"
"805","0.009848434312948507","0.009848434312948507","0.009848434312948507"
"807","0.009848434312948507","0.009848434312948507","0.009848434312948507"
"813","0.009848434312948507","0.009848434312948507","0.009848434312948507"
"827","0.009848434312948507","0.009848434312948507","0.009848434312948507"
"840","0.009848434312948507","0.009848434312948507","0.009848434312948507"
"855","0.009848434312948507","0.009848434312948507","0.009848434312948507"
"882","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"883","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"885","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"886","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"896","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"904","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"914","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"922","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"926","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"939","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"940","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"946","0.009672772708644358","0.009672772708644358","0.009672772708644358"
"948","0.009672772708644358","0.009672772708644358","0.009672772708644358"
