"Step","251028_normalized_zwidth_v1 - geom/xoff","251028_normalized_zwidth_v1 - geom/xoff__MIN","251028_normalized_zwidth_v1 - geom/xoff__MAX"
"1","0.05","0.05","0.05"
"17","0.05","0.05","0.05"
"18","0.05","0.05","0.05"
"22","0.05","0.05","0.05"
"26","0.05","0.05","0.05"
"34","0.05","0.05","0.05"
"36","0.05","0.05","0.05"
"49","0.05","0.05","0.05"
"59","0.05","0.05","0.05"
"60","0.05","0.05","0.05"
"64","0.05","0.05","0.05"
"67","0.05","0.05","0.05"
"73","0.05","0.05","0.05"
"77","0.05","0.05","0.05"
"78","0.05","0.05","0.05"
"88","0.05","0.05","0.05"
"92","0.05","0.05","0.05"
"95","0.05","0.05","0.05"
"97","0.05","0.05","0.05"
"103","0.04446909783637995","0.04446909783637995","0.04446909783637995"
"119","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"143","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"149","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"151","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"154","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"155","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"157","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"160","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"163","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"164","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"167","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"172","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"174","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"176","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"185","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"193","0.043069097871746925","0.043069097871746925","0.043069097871746925"
"212","0.042669097881851775","0.042669097881851775","0.042669097881851775"
"222","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"225","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"231","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"247","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"250","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"259","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"266","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"274","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"277","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"278","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"281","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"290","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"292","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"295","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"301","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"304","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"305","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"309","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"314","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"317","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"318","0.041069097922271175","0.041069097922271175","0.041069097922271175"
"337","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"353","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"361","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"368","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"372","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"382","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"389","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"397","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"405","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"414","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"425","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"430","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"435","0.03806909799805755","0.03806909799805755","0.03806909799805755"
"447","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"455","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"461","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"465","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"472","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"477","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"482","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"490","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"497","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"503","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"506","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"511","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"515","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"517","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"519","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"526","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"534","0.037069098023319674","0.037069098023319674","0.037069098023319674"
"549","0.03886909797784785","0.03886909797784785","0.03886909797784785"
"550","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"552","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"568","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"575","0.039069097972795425","0.039069097972795425","0.039069097972795425"
"578","0.039069097972795425","0.039069097972795425","0.039069097972795425"
